Image name,Probability
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/E_cad_AFRemoved_019.tif,0.8617543972
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/CK15_AFRemoved_019.tif,0.9971111601
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/pck26_AFRemoved_019.tif,0.9845144126
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/E_cad_AFRemoved_020.tif,0.8204301556
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/CK15_AFRemoved_020.tif,0.6642161821
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/pck26_AFRemoved_020.tif,0.7638072739
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/E_cad_AFRemoved_021.tif,0.9687254391
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/CK15_AFRemoved_021.tif,0.3942008014
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/pck26_AFRemoved_021.tif,0.7859703568
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/E_cad_AFRemoved_022.tif,0.9467245629
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/CK15_AFRemoved_022.tif,0.6771372133
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/pck26_AFRemoved_022.tif,0.7521382643
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/E_cad_AFRemoved_023.tif,0.9420933832
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/CK15_AFRemoved_023.tif,0.4372230603
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/pck26_AFRemoved_023.tif,0.0712482144
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/E_cad_AFRemoved_025.tif,0.7461201787
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/CK15_AFRemoved_025.tif,0.6546242235
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/pck26_AFRemoved_025.tif,0.9904909866
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/E_cad_AFRemoved_026.tif,0.9106536816
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/CK15_AFRemoved_026.tif,0.7499464888
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/pck26_AFRemoved_026.tif,0.8949101616
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/E_cad_AFRemoved_027.tif,0.9677594213
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/CK15_AFRemoved_027.tif,0.9081030186
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/pck26_AFRemoved_027.tif,0.9503637323
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/E_cad_AFRemoved_028.tif,0.9423920536
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/CK15_AFRemoved_028.tif,0.6919550428
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/pck26_AFRemoved_028.tif,0.9869175161
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/E_cad_AFRemoved_029.tif,0.9296267216
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/CK15_AFRemoved_029.tif,0.9927974283
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/pck26_AFRemoved_029.tif,0.9937808371
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/E_cad_AFRemoved_030.tif,0.9661779548
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/CK15_AFRemoved_030.tif,0.5106321943
/Users/aritrachowdhury/Documents/research/GE_project/images/260/AFRemoved/pck26_AFRemoved_030.tif,0.9797215127
